sessionId,vis,reported,truth,error
mawwdee0qdkf33haft4jr35,Bubble,80,43.34929839,5.20068096
mawwdee0qdkf33haft4jr36,Bar,35,34.32687411,0
mawwdee0qdkf33haft4jr37,Bar,95,80.73721556,3.846772545
mawwdee0qdkf33haft4jr38,Pie,10,25.41081074,3.957525626
mawwdee0qdkf33haft4jr39,Bubble,95,84.71234385,3.380266225
mawwdee0qdkf33haft4jr40,Bubble,25,22.41708135,1.4371844
mawwdee0qdkf33haft4jr41,Bubble,25,29.30043473,2.145819185
mawwdee0qdkf33haft4jr42,Bubble,90,67.53774222,4.497437225
mawwdee0qdkf33haft4jr43,Bar,90,79.15328257,3.455717467
mawwdee0qdkf33haft4jr44,Pie,80,58.16609658,4.456734106
mawwdee0qdkf33haft4jr45,Bar,75,56.39772103,4.227069389
mawwdee0qdkf33haft4jr46,Bubble,100,78.32269854,4.446408529
mawwdee0qdkf33haft4jr47,Pie,33,36.30857034,1.779709521
mawwdee0qdkf33haft4jr48,Bar,100,91.39597288,3.125820869
mawwdee0qdkf33haft4jr49,Bubble,100,96.49822306,1.858688018
mawwdee0qdkf33haft4jr50,Pie,95,69.93658365,4.654688514
mawwdee0qdkf33haft4jr51,Bar,80,76.15572605,1.988875138
mawwdee0qdkf33haft4jr52,Bubble,5,62.25450752,5.84246368
mawwdee0qdkf33haft4jr53,Bar,25,39.35977019,3.85646489
mawwdee0qdkf33haft4jr54,Bar,95,95.81073693,0
mawwdee0qdkf33haft4jr55,Pie,100,83.2776725,4.074447849
mawwdee0qdkf33haft4jr56,Pie,100,92.38186139,2.952918468
mawwdee0qdkf33haft4jr57,Bubble,75,50.51095077,4.621410108
mawwdee0qdkf33haft4jr58,Bar,25,32.08061312,2.849121193
mawwdee0qdkf33haft4jr59,Bubble,25,31.21574296,2.664651895
mawwdee0qdkf33haft4jr60,Bar,90,75.16136465,3.903388809
mawwdee0qdkf33haft4jr61,Pie,80,70.58008664,3.254732103
mawwdee0qdkf33haft4jr62,Bubble,95,75.5099184,4.293891432
mawwdee0qdkf33haft4jr63,Bar,75,62.22282001,3.689542943
mawwdee0qdkf33haft4jr64,Pie,25,48.21247507,4.544576576
mawwdee0qdkf33haft4jr65,Bubble,75,51.43083393,4.56645998
jxu6zypaqp04nxqzp1w12v,Bubble,90,96.952159,2.823170331
jxu6zypaqp04nxqzp1w12v,Bubble,80,71.34915057,3.133538773
jxu6zypaqp04nxqzp1w12v,Bubble,25,26.91918475,1.031525593
jxu6zypaqp04nxqzp1w12v,Bar,90,93.48948701,1.853790905
jxu6zypaqp04nxqzp1w12v,Bar,90,87.46827439,1.409649231
jxu6zypaqp04nxqzp1w12v,Bar,50,53.44727779,1.836844271
jxu6zypaqp04nxqzp1w12v,Pie,84,99.38572118,3.955193862
jxu6zypaqp04nxqzp1w12v,Bubble,80,57.82688274,4.478849996
